Domain_id,Suburb,Postcode,Lat,Lng,lga_ID
26087.0,Mentone,3194.0,-37.9786189,145.0741474,28.0
27617.0,Moorabbin Airport,3194.0,-37.9786189,145.0741474,28.0
27577.0,Moorabbin,3189.0,-37.9403568,145.0576067,28.0
27817.0,Mordialloc,3195.0,-38.0005492,145.1044805,28.0
32097.0,Parkdale,3195.0,-38.0005492,145.1044805,28.0
1817.0,Aspendale,3195.0,-38.0005492,145.1044805,28.0
1837.0,Aspendale Gardens,3195.0,-38.0005492,145.1044805,28.0
5647.0,Braeside,3195.0,-38.0005492,145.1044805,28.0
42857.0,Waterways,3195.0,-38.0005492,145.1044805,28.0
18327.0,Heatherton,3202.0,-37.9529597,145.0879338,28.0
5327.0,Boronia,3155.0,-37.8610682,145.2867055,25.0
21867.0,Knoxfield,3180.0,-37.8887649,145.250782,25.0
35057.0,Rowville,3178.0,-37.9210442,145.2424941,25.0
42327.0,Wantirna,3152.0,-37.8668518,145.220397,25.0
42337.0,Wantirna South,3152.0,-37.8668518,145.220397,25.0
35767.0,Scoresby,3179.0,-37.9042587,145.220397,25.0
39797.0,The Basin,3154.0,-37.8534742,145.3198788,25.0
5697.0,Braybrook,3019.0,-37.7903679,144.8566207,4.0
24877.0,Maidstone,3012.0,-37.8146251,144.8456217,4.0
43407.0,West Footscray,3012.0,-37.8146251,144.8456217,4.0
6227.0,Brooklyn,3012.0,-37.8146251,144.8456217,4.0
21717.0,Kingsville,3012.0,-37.8146251,144.8456217,4.0
40547.0,Tottenham,3012.0,-37.8146251,144.8456217,4.0
45777.0,Yarraville,3013.0,-37.819811,144.8813738,4.0
6127.0,Broadmeadows,3047.0,-37.6763574,144.9336544,10.0
11087.0,Dallas,3047.0,-37.6763574,144.9336544,10.0
19797.0,Jacana,3047.0,-37.6763574,144.9336544,10.0
10597.0,Craigieburn,3064.0,-37.5424079,144.9391595,10.0
20307.0,Kalkallo,3064.0,-37.5424079,144.9391595,10.0
26487.0,Mickleham,3064.0,-37.5424079,144.9391595,10.0
35077.0,Roxburgh Park,3064.0,-37.5424079,144.9391595,10.0
12237.0,Donnybrook,3064.0,-37.5424079,144.9391595,10.0
11897.0,Diggers Rest,3427.0,-37.6153848,144.6862995,10.0
16877.0,Gowanbrae,3043.0,-37.7044206,144.8786231,10.0
15787.0,Gladstone Park,3043.0,-37.7044206,144.8786231,10.0
40947.0,Tullamarine,3043.0,-37.7044206,144.8786231,10.0
17317.0,Greenvale,3059.0,-37.6454887,144.8841246,10.0
38197.0,Sunbury,3429.0,-37.5424727,144.7192376,10.0
43867.0,Wildwood,3429.0,-37.5424727,144.7192376,10.0
43577.0,Westmeadows,3049.0,-37.6707522,144.8896264,10.0
1857.0,Attwood,3049.0,-37.6707522,144.8896264,10.0
6657.0,Bulla,3428.0,-37.6342319,144.7961441,10.0
7717.0,Campbellfield,3061.0,-37.665113,144.955677,10.0
10107.0,Coolaroo,3048.0,-37.6539007,144.9226452,10.0
25717.0,Meadow Heights,3048.0,-37.6539007,144.9226452,10.0
25907.0,Melbourne Airport,3045.0,-37.6679317,144.8401227,10.0
31517.0,Oaklands Junction,3063.0,-37.5930751,144.8401227,10.0
